iter	RMSE
0	0.4683303824
1	0.4637893325
2	0.4586206398
3	0.4530131886
4	0.4476288582
5	0.4427279976
6	0.438205377
7	0.4346937734
8	0.4310061402
9	0.4274434863
10	0.4241156994
11	0.421397863
12	0.4177216001
13	0.414852136
14	0.4124322271
15	0.4099272553
16	0.408137151
17	0.4058319404
18	0.4037595944
19	0.40186082
20	0.3994231136
21	0.3976253511
22	0.3957432434
23	0.3944501206
24	0.392946897
25	0.391502256
26	0.3903693633
27	0.3885839712
28	0.3869901702
29	0.3857449669
30	0.3843679566
31	0.3829611277
32	0.3814780486
33	0.3803643439
34	0.3791015559
35	0.3779568437
36	0.3768822104
37	0.3758720705
38	0.3751498
39	0.3740057514
40	0.3733402019
41	0.3725508565
42	0.3714108584
43	0.3703846774
44	0.3695967818
45	0.3691488096
46	0.3684871166
47	0.3678679672
48	0.3670989809
49	0.3663339358
50	0.365449558
51	0.3649531896
52	0.3641417704
53	0.3629275416
54	0.3624892628
55	0.3618142002
56	0.3614671615
57	0.3606378086
58	0.3600021639
59	0.3593561208
60	0.3587319173
61	0.3582178225
62	0.3575007972
63	0.3569122907
64	0.3565345983
65	0.3558809471
66	0.3553645119
67	0.3548827973
68	0.3541243414
69	0.3537189349
70	0.3533300174
71	0.3526700097
72	0.3521728636
73	0.3516026494
74	0.3512683827
75	0.3509795412
76	0.350642582
77	0.3500938032
78	0.3496200548
79	0.3492722946
80	0.3489472363
81	0.3486190131
82	0.3481995337
83	0.347921377
84	0.3475604463
85	0.3471289114
86	0.3468306531
87	0.3462572777
88	0.3458731407
89	0.3453637771
90	0.3449038783
91	0.3444381547
92	0.3439157951
93	0.3435579159
94	0.3431027048
95	0.3429140175
96	0.3423518957
97	0.3418279577
98	0.3416178496
99	0.341357381
100	0.3406779891
101	0.3400472612
102	0.3394554021
103	0.3390315492
104	0.3385951255
105	0.3383128019
106	0.3378491267
107	0.337627833
108	0.337297077
109	0.336805341
110	0.336495379
111	0.3360221238
112	0.3355915535
113	0.3351015347
114	0.3349088685
115	0.3346829658
116	0.3343728736
117	0.333994782
118	0.3334242513
119	0.3329524807
120	0.3323123395
121	0.3321725669
122	0.3316913696
123	0.3313614823
124	0.3309539478
125	0.3306141684
126	0.3301868922
127	0.3298982509
128	0.3296415538
129	0.3291779636
130	0.3288105327
131	0.3282568431
132	0.3280298601
133	0.327625446
134	0.3274075195
135	0.3268473552
136	0.3265594946
137	0.3262393933
138	0.3258656028
139	0.3252359084
140	0.3249588436
141	0.3246704206
142	0.3243463236
143	0.3239511919
144	0.3237593891
145	0.3233694769
146	0.3232032646
147	0.3226480565
148	0.3221779238
149	0.3218558644
150	0.3212890164
151	0.3207042702
152	0.3204296401
153	0.3202174419
154	0.3197784506
155	0.3194488401
156	0.319103241
157	0.3188856833
158	0.3184989196
159	0.3181915867
160	0.3179001208
161	0.3176252973
162	0.3170814396
163	0.3168651029
164	0.3163707345
165	0.3161545318
166	0.3160493059
167	0.3158525497
168	0.315354978
169	0.3148847129
170	0.314584191
171	0.3142910691
172	0.3138928818
173	0.3136828358
174	0.3133911136
175	0.3127625143
176	0.3125980761
177	0.3123026324
178	0.3119749347
179	0.3118835782
180	0.3114407372
181	0.3112860772
182	0.3109082883
183	0.3103981033
184	0.310168075
185	0.3097375491
186	0.3092867548
187	0.309057171
188	0.3088520759
189	0.3083992749
190	0.3080233199
191	0.3075980848
192	0.3074258683
193	0.3069342173
194	0.3065583678
195	0.3060412302
196	0.3057563313
197	0.3054690422
198	0.3051404081
199	0.3049975284
