iter	Passed	Remaining
0	0	113
1	1	99
2	1	94
3	1	90
4	2	87
5	2	85
6	3	86
7	3	85
8	3	84
9	4	86
10	4	85
11	5	84
12	5	83
13	6	81
14	6	80
15	6	79
16	7	78
17	7	77
18	8	76
19	8	75
20	8	75
21	9	74
22	9	73
23	10	73
24	10	73
25	10	73
26	11	72
27	11	72
28	12	71
29	12	70
30	12	70
31	13	69
32	13	68
33	13	68
34	14	67
35	14	67
36	15	66
37	15	66
38	16	66
39	16	66
40	16	65
41	17	65
42	17	64
43	18	64
44	18	64
45	19	63
46	19	63
47	19	62
48	20	62
49	20	61
50	21	62
51	21	62
52	22	61
53	22	61
54	22	60
55	23	60
56	23	59
57	24	59
58	24	58
59	25	58
60	25	58
61	25	57
62	26	57
63	27	57
64	27	57
65	27	56
66	28	56
67	28	55
68	29	55
69	29	55
70	29	54
71	30	53
72	30	53
73	31	53
74	31	52
75	32	52
76	32	52
77	33	52
78	33	51
79	34	51
80	34	50
81	34	50
82	35	49
83	35	49
84	35	48
85	36	48
86	36	47
87	37	47
88	37	46
89	38	46
90	38	46
91	38	45
92	39	45
93	39	44
94	39	44
95	40	43
96	40	43
97	41	42
98	41	42
99	41	41
100	42	41
101	42	40
102	42	40
103	43	40
104	43	39
105	44	39
106	44	38
107	45	38
108	45	37
109	45	37
110	46	37
111	46	36
112	46	36
113	47	35
114	47	35
115	48	34
116	48	34
117	49	34
118	49	33
119	49	33
120	50	32
121	50	32
122	51	32
123	51	31
124	52	31
125	52	30
126	52	30
127	53	29
128	53	29
129	53	29
130	54	28
131	54	28
132	55	27
133	55	27
134	55	26
135	56	26
136	56	26
137	57	25
138	57	25
139	57	24
140	58	24
141	58	23
142	58	23
143	59	23
144	59	22
145	60	22
146	60	21
147	60	21
148	61	20
149	61	20
150	62	20
151	62	19
152	62	19
153	63	18
154	63	18
155	63	18
156	64	17
157	64	17
158	65	16
159	65	16
160	66	16
161	66	15
162	66	15
163	67	14
164	67	14
165	68	13
166	68	13
167	68	13
168	69	12
169	69	12
170	69	11
171	70	11
172	70	11
173	71	10
174	71	10
175	71	9
176	72	9
177	72	8
178	72	8
179	73	8
180	73	7
181	73	7
182	74	6
183	74	6
184	75	6
185	75	5
186	75	5
187	76	4
188	76	4
189	77	4
190	77	3
191	78	3
192	78	2
193	78	2
194	79	2
195	79	1
196	79	1
197	80	0
198	80	0
199	80	0
